V1,LSOA Code,age,value,sex
22558,E01006512,0,7,1
22559,E01006513,0,6,1
22560,E01006514,0,5,1
22561,E01006515,0,9,1
22562,E01006518,0,6,1
22563,E01006519,0,2,1
22564,E01006520,0,4,1
22565,E01006521,0,6,1
22566,E01006522,0,8,1
22567,E01006523,0,5,1
22568,E01006524,0,4,1
22569,E01006525,0,10,1
22570,E01006526,0,8,1
22571,E01006527,0,7,1
22572,E01006528,0,14,1
22573,E01006529,0,6,1
22574,E01006530,0,12,1
22575,E01006531,0,5,1
22576,E01006532,0,11,1
22577,E01006533,0,8,1
22578,E01006534,0,8,1
22579,E01006535,0,11,1
22580,E01006536,0,7,1
22581,E01006537,0,24,1
22582,E01006538,0,7,1
22583,E01006539,0,1,1
22584,E01006540,0,14,1
22585,E01006541,0,11,1
22586,E01006542,0,5,1
22587,E01006543,0,9,1
22588,E01006544,0,10,1
22589,E01006545,0,10,1
22590,E01006546,0,10,1
22591,E01006547,0,18,1
22592,E01006548,0,13,1
22593,E01006549,0,2,1
22594,E01006550,0,5,1
22595,E01006551,0,5,1
22596,E01006552,0,36,1
22597,E01006553,0,6,1
22598,E01006554,0,5,1
22599,E01006556,0,22,1
22600,E01006557,0,2,1
22601,E01006558,0,17,1
22602,E01006560,0,12,1
22603,E01006562,0,11,1
22604,E01006563,0,8,1
22605,E01006564,0,13,1
22606,E01006565,0,9,1
22607,E01006566,0,8,1
22608,E01006567,0,10,1
22609,E01006568,0,9,1
22610,E01006569,0,10,1
22611,E01006570,0,6,1
22612,E01006571,0,10,1
22613,E01006572,0,6,1
22614,E01006573,0,10,1
22615,E01006574,0,10,1
22616,E01006575,0,15,1
22617,E01006576,0,17,1
22618,E01006577,0,5,1
22619,E01006578,0,4,1
22620,E01006579,0,11,1
22621,E01006580,0,7,1
22622,E01006581,0,5,1
22623,E01006582,0,4,1
22624,E01006583,0,4,1
22625,E01006584,0,7,1
22626,E01006585,0,5,1
22627,E01006586,0,18,1
22628,E01006587,0,8,1
22629,E01006588,0,14,1
22630,E01006589,0,12,1
22631,E01006590,0,9,1
22632,E01006591,0,11,1
22633,E01006592,0,2,1
22634,E01006593,0,13,1
22635,E01006594,0,9,1
22636,E01006595,0,22,1
22637,E01006596,0,7,1
22638,E01006597,0,5,1
22639,E01006598,0,19,1
22640,E01006599,0,27,1
22641,E01006600,0,7,1
22642,E01006603,0,4,1
22643,E01006604,0,11,1
22644,E01006605,0,12,1
22645,E01006606,0,7,1
22646,E01006607,0,11,1
22647,E01006608,0,3,1
22648,E01006609,0,9,1
22649,E01006610,0,13,1
22650,E01006611,0,18,1
22651,E01006612,0,12,1
22652,E01006613,0,8,1
22653,E01006614,0,10,1
22654,E01006615,0,10,1
22655,E01006616,0,7,1
22656,E01006617,0,4,1
22657,E01006618,0,9,1
22658,E01006619,0,12,1
22659,E01006620,0,2,1
22660,E01006621,0,9,1
22661,E01006622,0,6,1
22662,E01006623,0,4,1
22663,E01006624,0,4,1
22664,E01006625,0,3,1
22665,E01006626,0,1,1
22666,E01006627,0,3,1
22667,E01006628,0,9,1
22668,E01006629,0,18,1
22669,E01006630,0,13,1
22670,E01006632,0,8,1
22671,E01006633,0,11,1
22672,E01006637,0,13,1
22673,E01006638,0,9,1
22674,E01006639,0,13,1
22675,E01006640,0,8,1
22676,E01006641,0,14,1
22677,E01006642,0,7,1
22678,E01006643,0,14,1
22679,E01006644,0,17,1
22680,E01006645,0,4,1
22681,E01006646,0,9,1
22682,E01006647,0,13,1
22683,E01006648,0,16,1
22684,E01006651,0,11,1
22685,E01006652,0,14,1
22686,E01006653,0,13,1
22687,E01006654,0,4,1
22688,E01006655,0,12,1
22689,E01006656,0,6,1
22690,E01006657,0,9,1
22691,E01006658,0,14,1
22692,E01006659,0,6,1
22693,E01006660,0,5,1
22694,E01006661,0,8,1
22695,E01006662,0,18,1
22696,E01006663,0,9,1
22697,E01006664,0,16,1
22698,E01006665,0,5,1
