lsoa11,imd,CNI_Score,anti_social_behaviour,burglary,criminal_damage_and_arson,robbery,violence_and_sexual_offences,prop_ibesa,samhi_index,prop_white,prop_u16,prop_o75,gpperpop,gpp_dist.x,ed_dist,green_pas,pm10_mean,prop_1less,cohab_child,lone_parent,natn_dec,natn_qunt,natn_terc
E01006512,19.654,105.87366,57,17,9,6,47,1.55202821869489,-0.208594017423972,0.385106382978723,0.104787234042553,0.00904255319148936,0.000672450021101376,0.4296,2.1732,0.06835571882,11.0786520976622,0.0750938673341677,0.6,5.6,5,3,2
E01006513,24.323,104.49215,160,57,56,11,178,0.263111734783371,-0.56028327320503,0.727643658619517,0.0180210812648759,0.0119007140428426,0.000703456482751694,0.35821052631579,1.71387755102041,0.06812892006,11.1567169936183,0.0528052805280528,1,3.1,4,2,2
E01006514,43.775,108.45268,127,21,28,3,146,6.69879518072289,0.607794272828523,0.777514231499051,0.0498102466793169,0.0227703984819734,0.000652696292716451,0.379565217391304,2.195,0.06032377958,11.0729980807281,0.0511210762331839,0.7,4,2,1,1
E01006515,51.962,108.45268,127,21,27,4,113,5.52834149755073,0.995610472680184,0.668046357615894,0.153145695364238,0.0844370860927152,0.000593170572071958,0.590483870967742,2.81390625,0.05269568573,10.9530929380658,0.0405616224648986,2.2,14.5,1,1,1
E01006518,68.396,101.01406,32,6,24,1,88,10.03861003861,2.71594031414637,0.806014150943396,0.159787735849057,0.115566037735849,0.000530093317847764,0.857142857142857,3.31428571428571,0.1097548886,10.9796506451301,0.0694610778443114,2.2,19.8,1,1,1
E01006519,10.183,77.05925,8,3,4,1,14,1.34228187919463,1.0474258055326,0.958786936236392,0.179626749611198,0.0824261275272162,0.000653811047420525,1.1728,7.55423076923077,0.75713716185,10.6916239542806,0.0136186770428016,3.7,8.2,8,4,3
E01006520,43.117,93.38901,64,9,31,2,96,5.9927797833935,2.35698343813308,0.881594372801876,0.0527549824150059,0.0545134818288394,0.000500107465655108,0.728064516129032,4.93806451612903,1.31346670481,10.8223771644145,0.0313028764805415,1.4,2.5,2,1,1
E01006521,26.67,76.59319,52,7,18,5,54,6.0634328358209,1.32734619351436,0.884939759036145,0.101807228915663,0.141566265060241,0.000646305902710162,0.498709677419355,6.65709677419355,1.60675217388,10.7792510826128,0.0420258620689655,1.7,8.2,3,2,1
E01006522,42.285,62.32159,189,12,30,7,125,9.16967509025271,2.23522218647578,0.849797804737146,0.0745233968804159,0.0219526285384171,0.000514904151968724,1.17365853658537,5.01414634146341,1.21462586434,10.9148439698974,0.0475319926873857,1.5,6.1,2,1,1
E01006523,37.01,76.59319,31,13,13,0,44,6.80813439434129,2.05454630322158,0.884615384615385,0.103448275862069,0.0729442970822281,0.000540768970914453,1.15,6.1209375,1.44244326939,10.7114946899199,0.0253012048192771,1.9,8.3,2,1,1
E01006524,7.312,62.32159,21,6,7,0,27,1.04506858262573,0.12718217425444,0.889757301522007,0.0538872891814068,0.109831345125463,0.000692927830654024,0.515666666666667,7.306,1.28830604679,10.8599543860624,0.0360205831903945,1.9,6.2,9,5,3
E01006525,9,28.24183,21,7,7,0,11,0.691562932226833,0.785444820020964,0.933829611248966,0.132340777502068,0.0885028949545079,0.000677828046920978,1.15129032258065,7.62451612903226,0.70889490071,10.8377371010102,0.0123456790123457,3.3,8.2,8,4,3
E01006526,23.534,62.32159,34,3,16,0,50,2.32558139534884,1.17374460857541,0.931623931623932,0.133190883190883,0.133903133903134,0.000663335564733154,0.481923076923077,7.06346153846154,1.49073571588,10.8854094323471,0.0244648318042813,5,7.6,4,2,2
E01006527,19.867,64.50206,17,6,5,1,13,3.0623020063358,1.1018605257287,0.933975240715268,0.142365887207703,0.0990371389270977,0.000665799281223752,0.8656,7.278,1.34486294266,10.7504600944506,0.0125391849529781,3.1,9.7,5,3,2
E01006528,28.532,76.59319,26,4,2,2,18,2.47279920870425,1.21683767860234,0.881587953456537,0.151950718685832,0.0561259411362081,0.000639659452649314,1.3168,6.705,1.76787106275,10.6255251847418,0.0261011419249592,4.2,8.3,3,2,1
E01006529,18.586,62.32159,14,4,5,0,31,1.4018691588785,0.936999886173077,0.940184049079755,0.171779141104294,0.0559815950920245,0.000665986517241359,0.365,6.85136363636364,1.59964921801,10.6195973576921,0.0250447227191413,5.9,8.1,5,3,2
E01006530,10.948,60.90128,8,7,0,2,27,1.76151761517615,1.43003304248954,0.967155835080363,0.146051712089448,0.151642208245982,0.000619751668225601,1.1,9.75966666666667,1.03373317872,10.9519306901362,0.0162337662337662,3.7,10.7,8,4,3
E01006531,12.522,60.90128,0,7,4,0,17,2.8169014084507,1.26455494387073,0.968449931412894,0.113854595336077,0.202331961591221,0.00060268319211314,0.97625,10.764375,1.23343630991,10.949160308721,0.0178041543026706,2.1,6.1,7,4,2
E01006532,11.191,45.71213,22,9,5,1,16,0.72202166064982,1.10705101249505,0.905587668593449,0.177906229929351,0.0950545921644187,0.000666496099396236,1.36410256410256,8.31974358974359,1.41497397408,10.9032858832133,0.00486223662884927,2.1,6.2,8,4,3
E01006533,26.717,60.90128,117,6,8,3,37,4.56375838926174,1.15477304141462,0.9375,0.144176136363636,0.151278409090909,0.000618860552667228,0.995294117647059,10.4629411764706,1.59632627469,11.0000367333449,0.0146579804560261,1.5,8.8,3,2,1
E01006534,32.109,78.12987,39,3,9,2,47,4.05405405405405,1.86144034241937,0.876134889753567,0.175745784695201,0.0732814526588846,0.000653697374721989,0.79448275862069,8.72931034482759,1.28187662611,10.8443442286231,0.0416024653312789,1.8,14.6,3,2,1
E01006535,37.037,78.12987,46,11,20,0,42,4.3956043956044,2.30441973871069,0.946918852959121,0.145210494203783,0.10921293471629,0.000670142643330544,0.762608695652174,9.26521739130435,1.38105612792,10.8401250839233,0.038109756097561,3,16.9,2,1,1
E01006536,41.081,78.12987,27,5,12,1,53,6.41247833622184,2.33429871180477,0.937229437229437,0.163961038961039,0.0860389610389611,0.000625212371536789,0.70825,9.58952777777778,1.26184244692,10.8662905990282,0.0392638036809816,4.4,20,2,1,1
E01006537,23.838,60.90128,109,40,23,2,53,1.89910979228487,1.21622330189386,0.930881701373505,0.181657066902969,0.0527248560035445,0.000543863458214501,0.948714285714286,11.3428333333333,0.89463234488,11.0054194282895,0.0259336099585062,3.5,16.4,4,2,2
E01006538,21.209,60.90128,35,10,13,1,43,2.89093298291721,1.20494018789461,0.973444613050076,0.16464339908953,0.0978755690440061,0.000545555401564118,0.606521739130435,11.6491304347826,1.06773116781,11.1070639041367,0.0265654648956357,3.4,12.9,5,3,2
E01006539,10.108,45.71213,64,9,7,2,15,1.79806362378976,0.98285872088629,0.920668058455115,0.139178844815588,0.0835073068893528,0.000685162183872257,0.801891891891892,7.35486486486487,1.23719113185,10.901357099014,0.00831946755407654,1.8,4.5,8,4,3
E01006540,79.58,99.06231,63,37,52,0,198,11.2977099236641,2.88802530861497,0.849569251159709,0.192842942345924,0.0523525513585156,0.000619206307188722,0.809,2.89866666666667,0.60275738225,11.4471750039383,0.0817120622568093,4.2,18.7,1,1,1
E01006541,51.567,95.30246,37,21,18,1,76,7.56578947368421,2.57777203722187,0.978656622724419,0.152542372881356,0.0872567482736974,0.000597961662690137,1.1395652173913,4.31782608695652,1.14055598328,11.3745870777811,0.0336239103362391,3.2,16.1,1,1,1
E01006542,58.852,100.0581,37,18,18,2,82,9.11708253358925,3.13865559558242,0.972083035075161,0.177523264137437,0.0887616320687187,0.000604337191515268,1.13263157894737,3.82263157894737,0.98344413258,11.3909965631833,0.0411663807890223,3.6,17.8,1,1,1
E01006543,27.597,95.30246,11,6,5,0,14,2.98913043478261,2.44481216476709,0.986367281475541,0.155573376102646,0.0697674418604651,0.0006505476823992,1.183,4.466,1.21672396362,11.3613197943447,0.0216110019646365,4.7,11.6,3,2,1
E01006544,69.599,95.30246,24,10,14,0,53,9.77517106549365,2.5967930466266,0.968033775633293,0.21351025331725,0.0687575392038601,0.000637434690364732,0.632857142857143,3.7125,1.21103875532,11.3861942795139,0.0623306233062331,5.1,26,1,1,1
E01006545,50.18,91.74292,62,12,16,2,91,4.90928495197439,2.55067572666489,0.962301587301587,0.223544973544974,0.0601851851851852,0.000627907970534401,0.778695652173913,3.53782608695652,1.14402142331,11.3863229751587,0.0278637770897833,5.4,22.9,1,1,1
E01006546,68.39,91.74292,76,22,21,0,139,8.86644219977553,2.95836570144317,0.951478392721759,0.229719484457923,0.0561031084154663,0.000614918344200695,0.91375,3.53291666666667,1.04979028741,11.4293891849715,0.065180102915952,5,22.1,1,1,1
E01006547,84.368,91.74292,116,19,42,5,174,9.9728014505893,3.15580672612055,0.905369127516779,0.196644295302013,0.0483221476510067,0.000601986341874997,0.775151515151515,2.94636363636364,1.20813116838,11.4427688996355,0.0487465181058496,4,17.4,1,1,1
E01006548,69.609,91.74292,47,8,28,1,99,6.24450307827617,2.94957632413684,0.905074626865672,0.207164179104478,0.0901492537313433,0.000648233628151955,0.743913043478261,3.1395652173913,1.04188424377,11.3900488385424,0.0566534914361001,4.9,22.8,1,1,1
E01006549,47.161,93.38901,33,12,15,0,40,8.57927247769389,1.60466021046119,0.744283995186522,0.075812274368231,0.0481347773766546,0.000498066651320024,0.693333333333333,4.10666666666667,1.29797795421,11.0888280926295,0.0547945205479452,1.5,4.6,1,1,1
E01006550,27.117,79.44161,66,4,8,0,29,2.45051837888784,0.320164765076688,0.855799373040752,0.0601880877742947,0.0206896551724138,0.000610004567322873,0.277368421052632,4.70526315789474,1.27532649963,11.1324718644305,0.0579710144927536,2.3,8.7,3,2,1
E01006551,42.024,62.32159,68,17,16,3,55,7.70020533880904,1.17534768043908,0.851359898798229,0.0607210626185958,0.118279569892473,0.000581817547823785,0.542857142857143,4.82333333333333,1.2968178771,11.000904412912,0.0239680426098535,0.7,6.9,2,1,1
E01006552,53.251,103.15343,39,3,9,4,53,5.32623169107856,1.54218125248747,0.408082799408576,0.28437654016757,0.0241498275012321,0.000432673922537823,0.533181818181818,3.70045454545455,1.26744832036,11.0484066009521,0.10126582278481,2.5,21.1,1,1,1
E01006553,21.542,55.48218,19,6,8,0,29,1.56996587030717,0.511677882193237,0.859574468085106,0.0930851063829787,0.0170212765957447,0.000716471361354003,0.357,5.25266666666667,0.97564893108,11.0100073152266,0.0638629283489097,2.2,9.2,5,3,2
E01006554,28.554,62.32159,29,12,19,0,29,4.26917510853835,0.777015838882418,0.865839243498818,0.0957446808510638,0.0177304964539007,0.000564952176943737,0.47304347826087,4.48869565217391,1.30493355993,11.1749968919332,0.0477657935285054,2.6,5.7,3,2,1
E01006556,70.045,103.15343,133,49,34,7,115,5.22041763341067,1.42745491909892,0.460467429139731,0.206862257583292,0.0422675285927399,0.000453403275490318,0.582666666666667,3.40133333333333,0.62827103202,11.1925423387855,0.0757874015748032,2.1,18.4,1,1,1
E01006557,20.456,79.44161,134,19,10,4,61,0.511865984178688,0.480496725993888,0.815968841285297,0.0676728334956183,0.0199610516066212,0.000572752770583456,0.26875,4.37375,1.24548722649,11.1842184066772,0.105511811023622,0.8,9.1,5,3,2
E01006558,83.903,100.0581,87,22,40,3,95,12.0291616038882,3.61864128752437,0.944731024318349,0.166543846720707,0.0545320560058954,0.000539023211169273,0.859285714285714,3.39148148148148,1.04670726259,11.2388095855713,0.054127198917456,3.9,19.8,1,1,1
E01006560,72.629,101.04717,84,18,37,2,116,9.94854202401372,3.41457223598241,0.930645161290323,0.152688172043011,0.0844086021505376,0.000539096774824933,0.619512195121951,2.78547619047619,0.6034072452,11.3299463883479,0.0632530120481928,2.5,18.5,1,1,1
E01006562,78.655,100.0581,42,19,32,1,103,8.35913312693498,3.28639889293006,0.918758256274769,0.217305151915456,0.0501981505944518,0.000546923801311933,0.760294117647059,2.77588235294118,0.8142375936,11.3995616438411,0.0644257703081232,4.1,25.8,1,1,1
E01006563,78.172,99.06231,109,31,47,12,185,10.2661596958175,3.26545014173907,0.905389908256881,0.192660550458716,0.105504587155963,0.000532028565274143,0.850909090909091,2.43454545454545,0.60662921032,11.41608449152,0.0616740088105727,3.5,19.3,1,1,1
E01006564,46.712,101.04717,70,11,13,2,57,6.33333333333333,2.83750776579165,0.943056362579896,0.141778036025567,0.0714700755374782,0.000519110984844871,0.683157894736842,2.27972972972973,0.33480862284,11.1861576765125,0.03875,2.9,16,1,1,1
E01006565,42.736,76.25451,44,10,15,0,64,6.05381165919283,2.03813217881316,0.945125887669464,0.176888315041963,0.100710135571336,0.000494271966181048,1.13285714285714,5.56095238095238,0.16965013482,11.4933586120605,0.0501567398119122,4.1,17.9,2,1,1
E01006566,31.451,61.67206,9,7,7,1,29,3.7117903930131,2.041348183439,0.932934926958831,0.180610889774236,0.103585657370518,0.000453007673566896,0.60625,5.42166666666667,0.21591006107,11.4381526559945,0.0433275563258232,4.9,10.7,3,2,1
E01006567,53.323,73.9996,75,7,31,4,177,9.21843687374749,2.19311505719488,0.949244712990937,0.130513595166163,0.122054380664653,0.000508959750923728,0.91375,6.1440625,0.1720000467,11.4029757830857,0.0291479820627803,2.6,11.8,1,1,1
E01006568,29.969,73.9996,21,3,8,0,35,2.31788079470199,1.69825750871062,0.956709956709957,0.192331478045764,0.0995670995670996,0.00057211267274577,1.3404,7.35,0.53287828757,11.3160903018712,0.0254372019077901,4.3,17.2,3,2,1
E01006569,57.527,76.25451,39,10,21,5,73,7.67326732673267,2.26614869007221,0.96850944716585,0.150454863540938,0.125262421273618,0.00051121429159858,1.15925925925926,5.62185185185185,0.17438037437,11.3656730928387,0.0456769983686786,4.1,16,1,1,1
E01006570,25.045,73.9996,43,10,17,4,41,3.19031903190319,1.46320709012446,0.961460446247465,0.174442190669371,0.0939824205544287,0.000561353573798181,0.715483870967742,6.54677419354839,0.49216136584,11.3278473197719,0.0336134453781513,2.2,12.8,4,2,1
E01006571,55.263,73.9996,59,12,9,4,93,6.90754516471838,2.05369944600455,0.970748299319728,0.17687074829932,0.108843537414966,0.000525722532880854,0.502142857142857,6.77178571428571,0.17218790061,11.3397181446549,0.0490196078431373,4.1,21.7,1,1,1
E01006572,63.887,88.25127,15,9,12,0,56,7.07350901525659,1.96229359944171,0.956089478044739,0.246893123446562,0.0621375310687655,0.000497753824800825,0.316,7.505,0.14210488228,11.3555304283451,0.0439121756487026,6.2,29.1,1,1,1
E01006573,51.749,76.25451,71,12,30,4,104,7.97546012269939,2.34843035200887,0.940039973351099,0.185209860093271,0.111925383077948,0.000567193177199043,0.645,4.91409090909091,0.17192990772,11.4553128806654,0.0437017994858612,4.1,16.7,1,1,1
E01006574,52.682,88.25127,18,7,11,0,59,7.33590733590734,2.20284108129137,0.943083573487032,0.211815561959654,0.0922190201729107,0.000493663121227378,0.485454545454545,8.25818181818182,0.50754849685,11.3751411544452,0.0343137254901961,3.8,18.6,1,1,1
E01006575,34.117,38.98127,33,6,15,1,39,3.35820895522388,1.50537881921524,0.933539412673879,0.159969088098918,0.101236476043277,0.000380058826016664,0.894090909090909,5.50772727272727,0.22519297957,11.3678751033262,0.0259515570934256,4,14,2,1,1
E01006576,19.675,38.98127,18,15,10,0,44,2.12569316081331,1.03547871082841,0.964559952746604,0.176609568812758,0.0767867690490254,0.000456320945105258,0.494,6.276,0.21766000675,11.2757147231957,0.0210378681626928,3.6,10.5,5,3,2
E01006577,15.615,38.98127,22,4,1,0,9,1.10619469026549,0.989717331752828,0.944777112441783,0.177644710578842,0.0864936793080506,0.00047364174736204,0.702083333333333,6.3025,0.22523224149,11.3036538030464,0.0134003350083752,3.7,9.7,6,3,2
E01006578,17.892,57.92212,17,18,2,1,12,1.9115890083632,1.07638985524965,0.952898550724638,0.197101449275362,0.063768115942029,0.000530853954759014,0.845909090909091,6.79954545454545,0.29184156082,11.2337526079182,0.0234657039711191,6.7,10.3,5,3,2
E01006579,12.013,38.98127,17,8,3,2,20,0.732217573221757,1.05975557108688,0.926354230066951,0.19841752891053,0.0852099817407182,0.000500496599712007,0.804074074074074,6.56666666666667,0.24597377832,11.2191059559116,0.0177993527508091,4,7.3,7,4,3
