V1,lsoa11,sex,year,an_pop,age_group,age_cat,age_group2,an_pop2
114265,E01006512,2,2017,53,"[0,10)",0,"[0,15)",53
114266,E01006512,2,2017,38,"[0,10)",5,"[0,15)",38
114267,E01006512,2,2017,48,"[10,15)",10,"[0,15)",48
114268,E01006512,2,2017,442,"[15,20)",15,"[15,25]",442
114269,E01006512,2,2017,557,"[20,25]",20,"[15,25]",557
114270,E01006512,2,2017,180,"[20,25]",25,"[15,25]",180
114271,E01006512,2,2017,70,,30,,70
114272,E01006512,2,2017,53,,35,,53
114273,E01006512,2,2017,36,,40,,36
114274,E01006512,2,2017,17,,45,,17
114275,E01006512,2,2017,15,,50,,15
114276,E01006512,2,2017,27,,55,,27
114277,E01006512,2,2017,9,,60,,9
114278,E01006512,2,2017,12,,65,,12
114279,E01006512,2,2017,7,,70,,7
114280,E01006512,2,2017,7,,75,,7
114281,E01006512,2,2017,6,,80,,6
114282,E01006512,2,2017,1,,85,,1
114283,E01006513,2,2017,17,"[0,10)",0,"[0,15)",17
114284,E01006513,2,2017,18,"[0,10)",5,"[0,15)",18
114285,E01006513,2,2017,16,"[10,15)",10,"[0,15)",16
114286,E01006513,2,2017,914,"[15,20)",15,"[15,25]",914
114287,E01006513,2,2017,1377,"[20,25]",20,"[15,25]",1377
114288,E01006513,2,2017,221,"[20,25]",25,"[15,25]",221
114289,E01006513,2,2017,63,,30,,63
114290,E01006513,2,2017,63,,35,,63
114291,E01006513,2,2017,21,,40,,21
114292,E01006513,2,2017,20,,45,,20
114293,E01006513,2,2017,18,,50,,18
114294,E01006513,2,2017,18,,55,,18
114295,E01006513,2,2017,5,,60,,5
114296,E01006513,2,2017,8,,65,,8
114297,E01006513,2,2017,2,,70,,2
114298,E01006513,2,2017,4,,75,,4
114299,E01006513,2,2017,1,,80,,1
114300,E01006513,2,2017,2,,85,,2
114301,E01006514,2,2017,27,"[0,10)",0,"[0,15)",27
114302,E01006514,2,2017,9,"[0,10)",5,"[0,15)",9
114303,E01006514,2,2017,4,"[10,15)",10,"[0,15)",4
114304,E01006514,2,2017,175,"[15,20)",15,"[15,25]",175
114305,E01006514,2,2017,415,"[20,25]",20,"[15,25]",415
114306,E01006514,2,2017,112,"[20,25]",25,"[15,25]",112
114307,E01006514,2,2017,71,,30,,71
