lsoa11,sex,year,an_pop,age_group,age_cat,age_group2,an_pop2
E01006512,2,2018,45,"[0,10)",0,"[0,15)",45
E01006512,2,2018,36,"[0,10)",5,"[0,15)",36
E01006512,2,2018,57,"[10,15)",10,"[0,15)",57
E01006512,2,2018,425,"[15,20)",15,"[15,25]",425
E01006512,2,2018,550,"[20,25]",20,"[15,25]",550
E01006512,2,2018,215,"[20,25]",25,"[15,25]",215
E01006512,2,2018,69,"",30,"",69
E01006512,2,2018,59,"",35,"",59
E01006512,2,2018,29,"",40,"",29
E01006512,2,2018,20,"",45,"",20
E01006512,2,2018,12,"",50,"",12
E01006512,2,2018,24,"",55,"",24
E01006512,2,2018,13,"",60,"",13
E01006512,2,2018,12,"",65,"",12
E01006512,2,2018,7,"",70,"",7
E01006512,2,2018,4,"",75,"",4
E01006512,2,2018,8,"",80,"",8
E01006512,2,2018,5,"",85,"",5
E01006513,2,2018,20,"[0,10)",0,"[0,15)",20
E01006513,2,2018,19,"[0,10)",5,"[0,15)",19
E01006513,2,2018,18,"[10,15)",10,"[0,15)",18
E01006513,2,2018,1144,"[15,20)",15,"[15,25]",1144
E01006513,2,2018,1505,"[20,25]",20,"[15,25]",1505
E01006513,2,2018,242,"[20,25]",25,"[15,25]",242
E01006513,2,2018,75,"",30,"",75
E01006513,2,2018,57,"",35,"",57
E01006513,2,2018,23,"",40,"",23
E01006513,2,2018,24,"",45,"",24
E01006513,2,2018,19,"",50,"",19
E01006513,2,2018,15,"",55,"",15
E01006513,2,2018,4,"",60,"",4
E01006513,2,2018,4,"",65,"",4
E01006513,2,2018,7,"",70,"",7
E01006513,2,2018,5,"",75,"",5
E01006513,2,2018,2,"",80,"",2
E01006513,2,2018,1,"",85,"",1
E01006514,2,2018,37,"[0,10)",0,"[0,15)",37
E01006514,2,2018,12,"[0,10)",5,"[0,15)",12
E01006514,2,2018,5,"[10,15)",10,"[0,15)",5
E01006514,2,2018,160,"[15,20)",15,"[15,25]",160
E01006514,2,2018,445,"[20,25]",20,"[15,25]",445
E01006514,2,2018,131,"[20,25]",25,"[15,25]",131
E01006514,2,2018,68,"",30,"",68
E01006514,2,2018,44,"",35,"",44
E01006514,2,2018,30,"",40,"",30
E01006514,2,2018,33,"",45,"",33
E01006514,2,2018,40,"",50,"",40
E01006514,2,2018,48,"",55,"",48
E01006514,2,2018,30,"",60,"",30
E01006514,2,2018,30,"",65,"",30
E01006514,2,2018,19,"",70,"",19
E01006514,2,2018,11,"",75,"",11
E01006514,2,2018,7,"",80,"",7
E01006514,2,2018,11,"",85,"",11
E01006515,2,2018,25,"[0,10)",0,"[0,15)",25
E01006515,2,2018,36,"[0,10)",5,"[0,15)",36
E01006515,2,2018,30,"[10,15)",10,"[0,15)",30
E01006515,2,2018,35,"[15,20)",15,"[15,25]",35
E01006515,2,2018,266,"[20,25]",20,"[15,25]",266
E01006515,2,2018,103,"[20,25]",25,"[15,25]",103
E01006515,2,2018,64,"",30,"",64
E01006515,2,2018,47,"",35,"",47
E01006515,2,2018,33,"",40,"",33
E01006515,2,2018,43,"",45,"",43
E01006515,2,2018,33,"",50,"",33
E01006515,2,2018,36,"",55,"",36
E01006515,2,2018,33,"",60,"",33
E01006515,2,2018,16,"",65,"",16
E01006515,2,2018,33,"",70,"",33
E01006515,2,2018,29,"",75,"",29
E01006515,2,2018,12,"",80,"",12
